iter	Passed	Remaining
447	8065	936
448	8080	917
449	8094	899
450	8110	881
451	8125	862
452	8141	844
453	8156	826
454	8173	808
455	8188	790
456	8203	771
457	8221	753
458	8240	736
459	8260	718
460	8279	700
461	8298	682
462	8315	664
463	8331	646
464	8346	628
465	8361	610
466	8376	591
467	8391	573
468	8407	555
469	8424	537
470	8440	519
471	8455	501
472	8470	483
473	8486	465
474	8501	447
475	8518	429
476	8540	411
477	8556	393
478	8570	375
479	8585	357
480	8600	339
481	8614	321
482	8631	303
483	8646	285
484	8684	268
485	8752	252
486	8803	235
487	8827	217
488	8844	198
489	8857	180
490	8872	162
491	8887	144
492	8902	126
493	8917	108
494	8933	90
495	8949	72
496	8964	54
497	8977	36
498	8993	18
499	9007	0
