iter	Logloss
0	0.6749890102
1	0.6582587136
2	0.6434704173
3	0.6307239817
4	0.6187305125
5	0.6086533458
6	0.5994327836
7	0.5910456746
8	0.5839301789
9	0.5771335018
10	0.5709439893
11	0.5653716572
12	0.5604147828
13	0.5559138098
14	0.5515501407
15	0.5476114854
16	0.5443423255
17	0.5412531567
18	0.5383827595
19	0.5359158135
20	0.5339150666
21	0.5320042202
22	0.5300567768
23	0.5281451203
24	0.5266364564
25	0.5251556625
26	0.5237514296
27	0.5224151499
28	0.5212266804
29	0.5200259795
30	0.5190791802
31	0.5181307793
32	0.5172612096
33	0.5162837707
34	0.5155168061
35	0.5147155293
36	0.5141046581
37	0.5133442029
38	0.5126814319
39	0.5119745792
40	0.5113439223
41	0.5107900964
42	0.5102891651
43	0.5099299424
44	0.5094389751
45	0.5090265069
46	0.5086234954
47	0.5082671588
48	0.5078788339
49	0.5075881133
50	0.5072618636
51	0.5069026583
52	0.5066755226
53	0.5063742933
54	0.5061122167
55	0.5059168544
56	0.5056466386
57	0.5053600659
58	0.5051485461
59	0.5049107636
60	0.5047005613
61	0.5044821454
62	0.50428504
63	0.504082418
64	0.5038993541
65	0.5037215982
66	0.5035820705
67	0.5033925986
68	0.5031999945
69	0.5030387108
70	0.5029030487
71	0.5027610759
72	0.5025939057
73	0.5024818409
74	0.5023617302
75	0.5022224827
76	0.5021328095
77	0.501989364
78	0.5018540357
79	0.5017267388
80	0.5015971155
81	0.5014481272
82	0.5012965211
83	0.5011744909
84	0.5010546391
85	0.500943384
86	0.5008506328
87	0.5007677226
88	0.5006039201
89	0.5004985017
90	0.500425533
91	0.5003090635
92	0.5002235042
93	0.5001560576
94	0.5000855617
95	0.5000089864
96	0.4999039986
97	0.4998356214
98	0.499743598
99	0.4996621511
100	0.4995745761
101	0.4994850548
102	0.4994004448
103	0.499319895
104	0.4992323172
105	0.4991356692
106	0.499044182
107	0.4989859656
108	0.4989191305
109	0.4988071538
110	0.4987375309
111	0.4986752264
112	0.4985894959
113	0.4984673032
114	0.4983923382
115	0.4983059258
116	0.4982140044
117	0.4981697888
118	0.4980736113
119	0.4980040252
120	0.4979262083
121	0.497864663
122	0.4977860052
123	0.4976799455
124	0.4976018313
125	0.4975194028
126	0.4974383406
127	0.4973783609
128	0.4972956401
129	0.4972210605
130	0.4971495432
131	0.4970926453
132	0.4970222433
133	0.4969436857
134	0.4968607234
135	0.4968018905
136	0.4967073289
137	0.4966473293
138	0.4965756937
139	0.4965161982
140	0.4964234071
141	0.4963177189
142	0.4962688704
143	0.4961973246
144	0.496127234
145	0.496064717
146	0.4959998678
147	0.4959136689
148	0.4958561987
149	0.4957888546
150	0.4957226245
151	0.4956617097
152	0.4956016407
153	0.4955489749
154	0.4954695103
155	0.4954162603
156	0.495357016
157	0.4952632077
158	0.4951482336
159	0.4950986586
160	0.4950500436
161	0.4949982947
162	0.4949289065
163	0.494867451
164	0.4947814797
165	0.4947111493
166	0.4946697971
167	0.4946075257
168	0.4945604715
169	0.494484942
170	0.4944476101
171	0.494353772
172	0.4943072549
173	0.4942524633
174	0.4941825605
175	0.4941309191
176	0.4940581031
177	0.4939954701
178	0.4939199784
179	0.4938572401
180	0.4937732897
181	0.4937006168
182	0.4936472123
183	0.4935775683
184	0.4935053422
185	0.493427673
186	0.4933437653
187	0.4932698987
188	0.4932039179
